"Leg","City","Region","Title","Description","Ideal for","How to get there","Cost","Category","Reach","Adventure","Website","Google Maps","Photo"
"1","Milan","Lombardy","Duomo archaeological area + Battistero","Descend beneath the cathedral to the 4th-century baptistery and Roman ruins where Milan was Christianized — eerie underground layer.","all","In Milan — under the Duomo, Metro Duomo; combo ticket","","underground","In town","","https://www.duomomilano.it/en/","https://www.google.com/maps/search/?api=1&query=Duomo%20archaeological%20area%20%2B%20Battistero%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","Galleria Vittorio Emanuele II + bull-heel spin","The glittering 1877 iron-and-glass arcade; find the mosaic bull on the floor and spin on your heel in the divot for good luck.","all","In Milan — between Duomo and La Scala, Metro Duomo","Free","architecture","In town","","","https://www.google.com/maps/search/?api=1&query=Galleria%20Vittorio%20Emanuele%20II%20%2B%20bull-heel%20spin%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","Gelato + the Galleria","A cone from a good gelateria, the bull-heel spin, and a lap of the glittering arcade — an easy jet-lagged arrival-day win.","grey · keir · all","In Milan — Galleria Vittorio Emanuele II, Metro Duomo","","food","In town","","https://www.yesmilano.it/en","https://www.google.com/maps/search/?api=1&query=Gelato%20%2B%20the%20Galleria%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","Highline Galleria skywalk","A 250m catwalk along the Galleria rooftops, 40m above shoppers, popping out over Piazza del Duomo; reopened Feb 2026, timed tickets.","rhys · all","In Milan — Galleria Vittorio Emanuele II, Metro Duomo","from ~€15pp","thrill","In town","","https://highlinegalleria.it/en/homepage-english/","https://www.google.com/maps/search/?api=1&query=Highline%20Galleria%20skywalk%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","Leonardo Science Museum + the Toti submarine","Italy's biggest science-and-tech museum: Leonardo's machine models, steam trains, planes, and the walk-through Enrico Toti submarine.","all · keir · jude","In Milan — ~30 min by metro from the flat","Under-18 free · adults ~€10","machines","In town","★","https://www.museoscienza.org/en","https://www.google.com/maps/search/?api=1&query=Leonardo%20Science%20Museum%20%2B%20the%20Toti%20submarine%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Nave_sottomarino_-_Museo_scienza_tecnologia_Milano_09676.jpg?width=800"
"1","Milan","Lombardy","Museo di Storia Naturale — mineral & gem hall","Cathedral-like natural history museum: minerals and gems, a Spinosaurus snout, a cast of 'Stan' the T-rex, pygmy elephants, taxidermy dioramas.","jude · keir","In Milan — metro to Porta Venezia, ~30 min","Under-18 free · adults ~€5","rock","In town","","https://www.comune.milano.it","https://www.google.com/maps/search/?api=1&query=Museo%20di%20Storia%20Naturale%20%E2%80%94%20mineral%20%26%20gem%20hall%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Veduta_del_Museo_civico_di_storia_naturale_di_Milano.jpg?width=800"
"1","Milan","Lombardy","Museum of Senses","Hands-on illusions and sensory tricks — pure play.","all","In Milan — central","~€16pp","weird","In town","","","https://www.google.com/maps/search/?api=1&query=Museum%20of%20Senses%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","Navigli canals aperitivo","Leonardo helped engineer these canals; now Milan's best evening scene. Rhys's first legal Italian aperitivo — a spritz by the water.","rhys","In Milan — Naviglio Grande, Metro M2 Porta Genova","Free to wander","dining","In town","★","","https://www.google.com/maps/search/?api=1&query=Navigli%20canals%20aperitivo%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","Panzerotti at Luini","A tiny takeaway behind the Duomo frying one thing since 1949: the panzerotto, a half-moon of dough pocketing molten mozzarella and tomato.","grey","In Milan — behind the Duomo, Metro Duomo","A couple of euros","food","In town","","https://www.luini.it/","https://www.google.com/maps/search/?api=1&query=Panzerotti%20at%20Luini%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","San Bernardino alle Ossa (bone chapel)","A small side chapel walled floor-to-ceiling in human skulls and bones — macabre and beautiful; gauge a sensitive 9-year-old.","rhys · jude","In Milan — near Piazza Santo Stefano, walkable from Duomo","Free","weird","In town","★","","https://www.google.com/maps/search/?api=1&query=San%20Bernardino%20alle%20Ossa%20(bone%20chapel)%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","Sforza Castle + Michelangelo's Rondanini Pieta","A proper brick fortress with battlements and moats, plus Michelangelo's haunting last unfinished Pieta inside; courtyards free.","all","In Milan — Castello Sforzesco, Metro M1 Cairoli","under-18 free","castle","In town","","https://www.milanocastello.it/en","https://www.google.com/maps/search/?api=1&query=Sforza%20Castle%20%2B%20Michelangelo's%20Rondanini%20Pieta%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","The Last Supper / Cenacolo Vinciano","Leonardo's fading masterpiece seen in a hushed timed 15-minute slot; sells out weeks to months ahead — book the instant dates are firm.","all","In Milan — Santa Maria delle Grazie; metro/tram to Conciliazione or Cadorna","","art","In town","★","https://cenacolovinciano.org/","https://www.google.com/maps/search/?api=1&query=The%20Last%20Supper%20%2F%20Cenacolo%20Vinciano%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Milan","Lombardy","WWII air-raid shelter, Piazza Grandi","Descend into a restored 1936 bomb shelter — 25 rooms that hid up to 450 civilians, walls scrawled with messages; free hour-long guided tour.","jude · keir","In Milan — Piazza Grandi, Metro/tram; advance booking required","Free","underground","In town","","https://www2.comune.milano.it/en/web/municipio-4/servizi/rifugio-antiaereo-di-piazza-grandi","https://www.google.com/maps/search/?api=1&query=WWII%20air-raid%20shelter%2C%20Piazza%20Grandi%20Milan%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Tirano","Lombardy","Bernina Railway from Tirano","Spiral tunnels, viaducts and glaciers on a UNESCO mountain railway into Switzerland.","jude · all","Day-trip — train ~2h30 to Tirano, then the Bernina","~€60pp round-ish","transport","Day-trip","★","","https://www.google.com/maps/search/?api=1&query=Bernina%20Railway%20from%20Tirano%20Tirano%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Bernina_railway_Tirano_02.jpg?width=640"
"1","Cremona","Lombardy","Cremona — violin-making workshop","Watch a luthier build a violin by hand in the world capital of violins.","jude","Day-trip — train ~1h from Milan","varies","craft","Day-trip","","","https://www.google.com/maps/search/?api=1&query=Cremona%20%E2%80%94%20violin-making%20workshop%20Cremona%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Cremona_Cattedrale_di_Santa_Maria_Assunta_Torrazzo_Vista_sul_la_Piazza_Sant%27Antonio_Maria_Zaccaria_1.jpg?width=640"
"1","Livigno","Lombardy","Mottolino Bike Park (Livigno) — the full DH park (2-night trip)","The most American-style park: gondola, jumps, wooden features, downhill school, trails at every level — and open latest, to Sep 27. Serious DH suits the 12/16/18-yo; the 9-yo can do the lift-side blue with the school.","rhys · jude · grey","Bus Milano Centrale→Livigno ~4h30 — a 2-NIGHT trip out of Milan, not a day-trip.","All-in rental+gear+pass from ~€75pp","bike","Day-trip","","https://www.mottolino.com/en/","https://www.google.com/maps/search/?api=1&query=Mottolino%20Bike%20Park%20(Livigno)%20%E2%80%94%20the%20full%20DH%20park%20(2-night%20trip)%20Livigno%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Full_Milan_skyline_from_Duomo_roof.jpg?width=640"
"1","Arese","Lombardy","Museo Alfa Romeo, Arese","The official Alfa Romeo museum on the old factory site: six floors of racing legends, concept cars and engines. Carless via metro + Z120 bus.","jude","M1 metro to Rho Fiera, then Z120 bus; ~45-60 min each way","","machines","Day-trip","","https://www.museoalfaromeo.com/en-us","https://www.google.com/maps/search/?api=1&query=Museo%20Alfa%20Romeo%2C%20Arese%20Arese%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/AreseViaCaduti061022b.jpg?width=640"
"1","Lake Como","Lombardy","Orrido di Nesso — Lake Como","A gorge and waterfalls carved through the rock beneath the village.","all","Day-trip — train to Como + bus/boat","Free / low","water","Day-trip","","","https://www.google.com/maps/search/?api=1&query=Orrido%20di%20Nesso%20%E2%80%94%20Lake%20Como%20Lake%20Como%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Bellagio_panorama_from_Lake_Como_ferry.jpg?width=640"
"1","Lake Maggiore","Lombardy","Rocca di Angera — Lake Maggiore","A huge fortress above the lake, reached by train and boat.","keir","Day-trip — train ~1h + ferry","~€11pp","castle","Day-trip","","","https://www.google.com/maps/search/?api=1&query=Rocca%20di%20Angera%20%E2%80%94%20Lake%20Maggiore%20Lake%20Maggiore%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/View_of_Lake_Maggiore_at_sunset_from_Cald%C3%A8.jpg?width=640"
"2","Novara","Piedmont","Novara — climb inside the San Gaudenzio dome","Climb inside a 121m dome on masonry walkways. Escher-grade. Open Sundays, age 6+.","all","On the Milan→Turin train day — 10-min walk from Novara station","~€12pp","detour","On the way","★","","https://www.google.com/maps/search/?api=1&query=Novara%20%E2%80%94%20climb%20inside%20the%20San%20Gaudenzio%20dome%20Novara%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Novara_Basilica_di_San_Gaudenzio_Esterno_Cupola_1.jpg?width=800"
"2","Turin","Piedmont","Aperitivo at Piazza Vittorio Veneto","Turin invented vermouth and the aperitivo ritual — a spritz/vermouth with free nibbles as the arcades light up; Rhys's first legal one.","rhys · all","In Turin — Piazza Vittorio Veneto, early evening","Free to wander","dining","In town","","","https://www.google.com/maps/search/?api=1&query=Aperitivo%20at%20Piazza%20Vittorio%20Veneto%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Mole_Antonelliana_in_Turin.jpg?width=640"
"2","Turin","Piedmont","Bicerin at Caffe Al Bicerin","Layered espresso, drinking chocolate and cream (don't stir it), invented in Turin and served the same way since 1763.","grey · all","In Turin — Piazza della Consolata","","dining","In town","","https://bicerin.it/en/","https://www.google.com/maps/search/?api=1&query=Bicerin%20at%20Caffe%20Al%20Bicerin%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Mole_Antonelliana_in_Turin.jpg?width=640"
"2","Turin","Piedmont","Chocolate-making experience","Turin is Italy's chocolate capital — make your own.","grey","In Turin — central","varies","food","In town","","","https://www.google.com/maps/search/?api=1&query=Chocolate-making%20experience%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Mole_Antonelliana_in_Turin.jpg?width=640"
"2","Turin","Piedmont","Gianduiotto and the chocolate crawl","Turin invented gianduja; graze historic caffe-cioccolaterie under the arcades for the gold-wrapped gianduiotto, Nutella's ancestor.","all","In Turin — historic chocolatiers under the arcades, citywide","","food","In town","","","https://www.google.com/maps/search/?api=1&query=Gianduiotto%20and%20the%20chocolate%20crawl%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Mole_Antonelliana_in_Turin.jpg?width=640"
"2","Turin","Piedmont","Magic Turin — black and white squares walk","Self-guided walk on Turin's esoteric lore: Piazza Statuto the dark heart, Piazza Castello the light; hunt the symbols and statues.","rhys · all","In Turin — self-guided walk, or book a night ghost-walk","Free","weird","In town","","https://www.turismotorino.org/en","https://www.google.com/maps/search/?api=1&query=Magic%20Turin%20%E2%80%94%20black%20and%20white%20squares%20walk%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Mole_Antonelliana_in_Turin.jpg?width=640"
"2","Turin","Piedmont","MAUTO — National Automobile Museum","One of the world's great car museums, a designed-to-the-hilt hall of a century of automobiles down by the Lingotto.","jude","In Turin — Metro toward Lingotto","","machines","In town","","https://www.museoauto.com/en/","https://www.google.com/maps/search/?api=1&query=MAUTO%20%E2%80%94%20National%20Automobile%20Museum%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Mole_Antonelliana_in_Turin.jpg?width=640"
"2","Turin","Piedmont","Mole Antonelliana — glass lift + Cinema Museum","Turin's landmark spire holds Italy's cinema museum plus a glass elevator up through the hollow interior to a terrace 85m over the rooftops.","keir · all","In Turin — ~8-min walk from the flat","~€15pp (lift+museum)","whoa","In town","★","https://www.museocinema.it/en","https://www.google.com/maps/search/?api=1&query=Mole%20Antonelliana%20%E2%80%94%20glass%20lift%20%2B%20Cinema%20Museum%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Mole_Antonelliana_Torino.JPG?width=800"
"2","Turin","Piedmont","Museo Egizio","World's oldest Egyptian museum and most important outside Cairo: mummies, painted sarcophagi, an intact tomb and ~4,000-year-old objects.","keir · all","In Turin — ~10-min walk","Under-18 free · adults ~€18","whoa","In town","★","https://museoegizio.it/en/","https://www.google.com/maps/search/?api=1&query=Museo%20Egizio%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Statua_Sekhmet_Museo_Egizio_Torino_Maggio_2025.jpg?width=800"
"2","Turin","Piedmont","Museo Lombroso — criminal anthropology","A genuinely macabre collection — teen-plus.","rhys","In Turin — central","~€8pp","weird","In town","","","https://www.google.com/maps/search/?api=1&query=Museo%20Lombroso%20%E2%80%94%20criminal%20anthropology%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Mole_Antonelliana_in_Turin.jpg?width=640"
"2","Turin","Piedmont","Museo Regionale di Scienze Naturali","Regional natural science museum with minerals and skeletons; around the corner from the base near the Mole.","jude","In Turin — central","~€10pp","rock","In town","","","https://www.google.com/maps/search/?api=1&query=Museo%20Regionale%20di%20Scienze%20Naturali%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Mole_Antonelliana_in_Turin.jpg?width=640"
"2","Turin","Piedmont","Museum of Illusions","Rooms of hands-on optical illusions.","all","In Turin — central","~€12pp","weird","In town","","","https://www.google.com/maps/search/?api=1&query=Museum%20of%20Illusions%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Mole_Antonelliana_in_Turin.jpg?width=640"
"2","Turin","Piedmont","Superga rack railway","An 1884 rack tramway grinds up to the hilltop Basilica of Superga for huge Alpine views and royal tombs; also the 1949 Grande Torino crash site.","keir · grey","In Turin — tram 15 to Sassi, then the rack railway","~€9pp return","transport","In town","","https://www.turismotorino.org/en","https://www.google.com/maps/search/?api=1&query=Superga%20rack%20railway%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Mole_Antonelliana_in_Turin.jpg?width=640"
"2","Turin","Piedmont","The arcades + Piazza San Carlo","Roughly 18 km of grand covered porticoes strung between baroque squares; drift Via Roma to Piazza San Carlo, Turin's 'drawing room'.","all","In Turin — walk Via Roma through the centre","Free to wander","architecture","In town","","","https://www.google.com/maps/search/?api=1&query=The%20arcades%20%2B%20Piazza%20San%20Carlo%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Mole_Antonelliana_in_Turin.jpg?width=640"
"2","Turin","Piedmont","The Lingotto rooftop test track (Pista 500)","The old Fiat Lingotto factory's banked rooftop test track from the original Italian Job survives as a walkable oval with a hanging bubble.","jude · all","In Turin — Metro to Lingotto","Rooftop (Pista 500) ticketed but cheap","transport","In town","","https://pinacoteca-agnelli.it/en/pista-500/","https://www.google.com/maps/search/?api=1&query=The%20Lingotto%20rooftop%20test%20track%20(Pista%20500)%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Mole_Antonelliana_in_Turin.jpg?width=640"
"2","Turin","Piedmont","The Pietro Micca tunnels","A 14-km maze of 18th-century military counter-mines; the museum takes you down into the real cramped, dark galleries. Book a guided descent.","jude · keir","In Turin — central; book a guided descent","","underground","In town","","https://www.museopietromicca.it/","https://www.google.com/maps/search/?api=1&query=The%20Pietro%20Micca%20tunnels%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Pietro_Micca_death_place.jpg?width=800"
"2","Turin","Piedmont","Torino Sotterranea — underground Turin","Guided walk through siege tunnels, cellars and WWII air-raid shelters.","all","In Turin — guided, central meeting point","~€15pp","underground","In town","★","","https://www.google.com/maps/search/?api=1&query=Torino%20Sotterranea%20%E2%80%94%20underground%20Turin%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Pietro_Micca_death_place.jpg?width=800"
"2","Vidracco (Ivrea)","Piedmont","Damanhur — Temples of Humankind","A hand-dug underground esoteric cathedral of sacred geometry.","all","Best as Mon Sep 14 day-trip — train Turin→Ivrea (~1h) + taxi (~€30); pre-book English tour","€78pp (Classic Visit)","underground","Day-trip","★","https://damanhur.travel/tour/classicvisit-visit-english/","https://www.google.com/maps/search/?api=1&query=Damanhur%20%E2%80%94%20Temples%20of%20Humankind%20Vidracco%20(Ivrea)%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Ivrea_Panorama_1.jpg?width=640"
"2","Frabosa (Cuneo)","Piedmont","Grotta di Bossea","An Alpine karst show-cave for the rockhound.","jude","Day-trip — needs bus/car from Mondovì; long","~€12pp","caves","Day-trip","","","https://www.google.com/maps/search/?api=1&query=Grotta%20di%20Bossea%20Frabosa%20(Cuneo)%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Photo_Bossea_Cave._Speleologists_climbing_in_the_karst_cave,_1962_-_Touring_Club_Italiano_07_0456.jpg?width=640"
"2","Turin","Piedmont","La Mandria park — forest gravel spin","A 15km circular compact-gravel loop through oak forest with wildlife and picnic stops — safe, non-technical off-tarmac a 9-yo can do solo. Tamer than real trail riding.","keir · all","~12km from Turin centre by local transit/bike path.","Rentals ~€15-30/bike/day","bike","Day-trip","","https://www.torino.in/turin/useful-tips/best-bike-trails-around-turin-for-families","https://www.google.com/maps/search/?api=1&query=La%20Mandria%20park%20%E2%80%94%20forest%20gravel%20spin%20Turin%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Mole_Antonelliana_in_Turin.jpg?width=640"
"2","Pila / Aosta","Aosta Valley","Pila Bike Park (Aosta) — kids' park, Sep 11–13 ONLY","The best kids' park found: green/blue family routes, a pump track, and FREE downhill courses for ages 6–12 at two bike schools. But 2026 lifts CLOSE Sun Sep 13 — a hard deadline.","keir · grey · rhys · jude · all","Train Turin→Aosta ~2h, then a 5-min walk to the Aosta–Pila gondola — needs an Aosta overnight (sleep there Sep 11 or 12). Verify the Ivrea–Aosta line isn't on bus-replacement.","~€146 lifts (kids €19) + kids' bikes/armor; the 9 & 12yo ride the free 6–12 course","bike","Day-trip","★","https://www.pila.it/en/","https://www.google.com/maps/search/?api=1&query=Pila%20Bike%20Park%20(Aosta)%20%E2%80%94%20kids'%20park%2C%20Sep%2011%E2%80%9313%20ONLY%20Pila%20%2F%20Aosta%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Mole_Antonelliana_in_Turin.jpg?width=640"
"2","Sant'Ambrogio","Piedmont","Sacra di San Michele","1,000-year-old abbey-fortress on a rock spike 1,000m over the Susa Valley; inspired The Name of the Rose. Climb the Staircase of the Dead.","all","Day-trip — train to Sant'Ambrogio + shuttle up","~€8pp","castle","Day-trip","★","https://www.sacradisanmichele.com/","https://www.google.com/maps/search/?api=1&query=Sacra%20di%20San%20Michele%20Sant'Ambrogio%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Sacra_di_San_Michele_-_Overview.jpg?width=640"
"2","Langhe / Alba","Piedmont","Truffle hunt with dogs — Langhe","Hunt truffles with trained dogs — Sept/Oct is white-truffle season.","all","Day-trip — train to Alba, operator pickup","~€40–60pp","food","Day-trip","","","https://www.google.com/maps/search/?api=1&query=Truffle%20hunt%20with%20dogs%20%E2%80%94%20Langhe%20Langhe%20%2F%20Alba%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Langhe.jpg?width=640"
"2","Bard","Aosta Valley","Forte di Bard","An enormous fortress stacked up a mountain, with lifts up the rock face.","all · keir","Far — train + bus ~2h; better on its own trip","~€12pp per museum","castle","Far · own trip","★","","https://www.google.com/maps/search/?api=1&query=Forte%20di%20Bard%20Bard%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Forte_di_Bard_2016.jpg?width=640"
"3","Genoa","Liguria","Genoa — the Sacro Catino 'Holy Grail'","A green-glass dish the Genoese swore for centuries was the actual Holy Grail, in the cathedral crypt.","all","On the Turin→Chiavari day — central Genoa (open Tue, midday-closes)","~€40 (treasury)","detour","On the way","★","","https://www.google.com/maps/search/?api=1&query=Genoa%20%E2%80%94%20the%20Sacro%20Catino%20'Holy%20Grail'%20Genoa%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Genoa_Panorama.jpg?width=640"
"3","Genoa","Liguria","Genoa — walk through a real submarine","Mediterranean's biggest maritime museum with a walk-through decommissioned Italian navy submarine moored afloat outside.","all","On the Turin→Chiavari train day — you change in Genoa anyway; 10-min walk from Piazza Principe","~€90–105 (combo ticket)","detour","On the way","★","https://en.galatamuseodelmare.it/","https://www.google.com/maps/search/?api=1&query=Genoa%20%E2%80%94%20walk%20through%20a%20real%20submarine%20Genoa%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Nazario_Sauro_(S_518).jpg?width=800"
"3","Cinque Terre","Liguria","Cinque Terre sea-kayak — caves & cliffs","Hop three villages on the card: Vernazza harbor and Doria castle, Manarola viewpoint and cove, Monterosso's sandy beach.","rhys · all","Train to Monterosso/Riomaggiore + operator","~€40–60pp","thrill","In town","★","https://www.parconazionale5terre.it/","https://www.google.com/maps/search/?api=1&query=Cinque%20Terre%20sea-kayak%20%E2%80%94%20caves%20%26%20cliffs%20Cinque%20Terre%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Vernazza,_Cinque_Terre_(panorama).jpg?width=640"
"3","Levanto / Genoa","Liguria","Make pesto by hand","Learn to make real pesto by hand — mortar, pestle, Ligurian basil, pine nuts, Parmigiano and pecorino — then eat it over trofie.","grey · all","In the area — class in Levanto or Genoa","varies","food","In town","","https://www.visitgenoa.it/en","https://www.google.com/maps/search/?api=1&query=Make%20pesto%20by%20hand%20Levanto%20%2F%20Genoa%20Italy","https://commons.wikimedia.org/wiki/Special:FilePath/Levanto-panorama_da_provinciale1.jpg?width=640"
