"id","leg","city","region","title","ideal_for","category","reach","cost","how_to_get_there","website","status","notes","updated"
"3-genova-righi-adventure-park","3","Genoa","Liguria","Genova Righi Adventure Park","rhys","thrill","day","~€20–30pp","Day-trip — train to Genoa + Zecca–Righi funicular","","","",""
"3-grotte-di-equi","3","Equi Terme","Tuscany","Grotte di Equi","jude","caves","day","~€10pp","Day-trip — regional train to Equi Terme","","","",""
"3-guvano-and-hidden-coves-by-kayak","3","Vernazza","Liguria","Guvano and hidden coves by kayak","keir · rhys","secret","day","","Rent a kayak or water taxi from Vernazza or Monterosso, weather-dependent","https://cinqueterredalmare.com/en/","","",""
"3-il-gigante-the-bombed-sea-god","3","Monterosso","Liguria","Il Gigante, the bombed sea-god","jude","weird","day","free","5-min walk from Monterosso station on the Fegina seafront","https://www.lecinqueterre.org/eng/arte/monterossostatuagigante.php","","",""
"3-l-altro-eden","3","Santa Margherita","Liguria","L'Altro Eden","all","dining","day","~€430-520 for 6","Train Chiavari to Santa Margherita 11-13 min, ~45/day","","","",""
"3-michelin-room-on-the-bay-of-silence","3","Sestri Levante","Liguria","Michelin room on the Bay of Silence","all","dining","day","","Train from Chiavari to Sestri Levante.","","","",""
"3-monterosso-s-salt-cured-anchovies","3","Monterosso","Liguria","Monterosso's salt-cured anchovies","grey","food","day","","Monterosso trattorias and the September Sagra delle Acciughe Salate","https://www.lecinqueterre.org/eng/cucina/acciughe.php","","",""
"3-ristorante-dei-castelli","3","Sestri Levante","Liguria","Ristorante dei Castelli","all","dining","day","~€480-560 for 6","Train Chiavari to Sestri Levante 5-17 min, ~52/day","","","",""
"3-ristorante-la-camogliese","3","Camogli","Liguria","Ristorante La Camogliese","all","dining","day","~€380-450 for 6","Train Chiavari to Camogli 15-20 min; reserve the veranda","","","",""
"3-santa-margherita-portofino-harbour-dinner","3","Portofino","Liguria","Santa Margherita / Portofino harbour dinner","all","dining","day","","Short train to Santa Margherita Ligure, then bus/boat to Portofino.","","","",""
"3-sciacchetra-and-a-terrace-aperitivo","3","Manarola","Liguria","Sciacchetra and a terrace aperitivo","all","food","day","","Tastings in Manarola or Riomaggiore via the Cinque Terre Card","https://www.parconazionale5terre.it/","","",""
"3-the-vineyard-monorail-trains","3","Volastra","Liguria","The vineyard monorail trains","jude","machines","day","","Short train + walk to Volastra above Manarola; book a cellar visit","https://www.ilvigneto5terre.com/en/","","",""
"3-the-way-of-the-sanctuaries","3","Cinque Terre","Liguria","The Way of the Sanctuaries","jude","church","day","","Park trails climbing from each village, free; check trail status","https://www.parconazionale5terre.it/","","",""
"3-torre-aurora-the-pirate-watchtower","3","Monterosso","Liguria","Torre Aurora, the pirate watchtower","rhys","castle","day","","Walk-up terrace in Monterosso; book a table for sunset","https://torreauroracinqueterre.it/en/","","",""
"3-via-dell-amore-finally-reopened","3","Cinque Terre","Liguria","Via dell'Amore, finally reopened","all","rock","day","","On the Cinque Terre Card but needs a timed 30-min entry slot","https://www.viadellamore.info/en/","","",""
"3-village-hopping-by-ferry","3","Ligurian coast","Liguria","Village-hopping by ferry","all","transport","day","","Golfo dei Poeti / Tigullio ferries from coastal stations","https://www.navigazionegolfodeipoeti.it/","","",""
"3-ristorante-belforte","3","Vernazza","Liguria","Ristorante Belforte","all","dining","far","~€300-380 for 6","Train ~1h+ with one change; check the last train home. Closed Tue","https://www.ristorantebelforte.it/","","",""
"3-sea-cliff-climbing-at-muzzerone","3","Portovenere","Liguria","Sea-cliff climbing at Muzzerone","rhys · keir","thrill","far","","Boat/bus to Portovenere; book a guided half-day","https://www.arbaspaa.com/tour/rock-climbing-with-stunning-views","","",""
"4-carrara-4-4-marble-quarry-tour","4","Carrara","Tuscany","Carrara — 4×4 marble quarry tour","jude","detour","way","~€30pp (kids less)","On the Chiavari→Florence train day — meet 7-min walk from Carrara-Avenza station","","","",""
"4-pietrasanta-the-marble-carving-town","4","Pietrasanta","Tuscany","Pietrasanta — the marble-carving town","jude","craft","way","Free (museum)","On the Chiavari→Florence day — historic centre across from the station","","","",""
"4-pisa-leaning-tower-the-death-fresco","4","Pisa","Tuscany","Pisa — leaning tower + the death fresco","all","detour","way","Tower ~€20pp","On the Chiavari→Florence day — you change at Pisa; bag storage at the station","","","",""
"4-aquaflor-build-your-own-perfume","4","Florence","Tuscany","AquaFlor — build your own perfume","rhys","craft","base","","In Florence — walkable, near Santa Croce","https://www.aquaflorexperience.com/en/","","",""
"4-bargello-sculpture-museum","4","Florence","Tuscany","Bargello sculpture museum","all","art","base","","In Florence — walkable in the centre","https://www.bargellomusei.it/en/","","",""
"4-boboli-and-bardini-gardens","4","Florence","Tuscany","Boboli and Bardini gardens","all","nature","base","","In Florence — ~10 min walk to Pitti/Boboli from base","https://www.uffizi.it/en/boboli-garden","","",""
"4-brancacci-chapel-oltrarno-santo-spirito","4","Florence","Tuscany","Brancacci Chapel + Oltrarno + Santo Spirito","all","church","base","","In Florence — Oltrarno, ~3 min walk from San Frediano base","https://cappellabrancacci.musei.comune.fi.it/","","",""
"4-brunelleschi-s-dome-climb","4","Florence","Tuscany","Brunelleschi's dome climb","all","whoa","base","~€30pp (Brunelleschi pass)","In Florence — walkable; book a timed slot","https://duomo.firenze.it/en/home","","",""
"4-buchette-del-vino-the-wine-windows","4","Florence","Tuscany","Buchette del vino — the wine windows","grey · keir · rhys","hunt","base","Free to spot","In Florence — self-guided walk; Babae is near San Frediano base","https://www.buchettedelvino.org/","","",""
"4-florentine-paper-marbling-workshop","4","Florence","Tuscany","Florentine paper-marbling workshop","grey","craft","base","varies","In Florence — central studios","","","",""
"4-fresh-pasta-gelato-class","4","Florence","Tuscany","Fresh pasta + gelato class","grey · all","food","base","~€70pp","In Florence — central","https://www.florencetown.com/","","",""
"4-hands-on-artisan-workshop","4","Florence","Tuscany","Hands-on artisan workshop","all","craft","base","","In Florence — Oltrarno, walkable from San Frediano base","https://www.scuoladelcuoio.com/en/","","",""
"4-hzero-miniature-railway-world","4","Florence","Tuscany","HZERO — miniature railway world","keir · grey","machines","base","","In Florence — walkable in the centre","https://www.hzero.com/en/","","",""
"4-il-porcellino-rub-the-boar-s-nose","4","Florence","Tuscany","Il Porcellino — rub the boar's nose","keir · grey","detour","base","Free","In Florence — 30-second detour by the leather market","https://www.visittuscany.com/en/attractions/porcellino-fountain-in-florence/","","",""
"4-la-specola-minerals-anatomical-waxes","4","Florence","Tuscany","La Specola — minerals + anatomical waxes","jude · rhys","rock","base","~€10pp · under-18 €5","In Florence — ~10-min walk from your door","https://www.msn.unifi.it/","","",""
"4-le-arti-orafe-set-your-own-gemstone","4","Florence","Tuscany","Le Arti Orafe — set your own gemstone","jude","craft","base","Class ~€90pp","In Florence — Oltrarno, walkable","https://artiorafe.it/en/craft-experience/","","",""
"4-mercato-centrale-san-lorenzo-gelato-crawl","4","Florence","Tuscany","Mercato Centrale + San Lorenzo + gelato crawl","grey · jude","market","base","","In Florence — walkable, near San Lorenzo","https://www.mercatocentrale.com/florence/","","",""
"4-museo-galileo","4","Florence","Tuscany","Museo Galileo","all","machines","base","~€10pp","In Florence — by the Uffizi, walkable","https://www.museogalileo.it/en/","","",""
"4-officina-di-santa-maria-novella-world-s-oldest-pharmacy","4","Florence","Tuscany","Officina di Santa Maria Novella — world's oldest pharmacy","all","weird","base","Free entry","In Florence — walkable, by the train station","https://smnovella.com/","","",""
"4-one-big-hitter-uffizi-or-accademia","4","Florence","Tuscany","ONE big-hitter: Uffizi OR Accademia","all","art","base","","In Florence — both walkable in the centre","https://www.uffizi.it/en","","",""
"4-palazzo-vecchio-secret-passages","4","Florence","Tuscany","Palazzo Vecchio — secret passages","all","secret","base","~€20pp tour","In Florence — Piazza della Signoria, walkable","https://cultura.comune.fi.it/pagina/i-musei-civici-fiorentini/palazzo-vecchio","","",""
"4-scuola-del-cuoio-the-leather-school","4","Florence","Tuscany","Scuola del Cuoio — the leather school","jude","craft","base","Class varies","In Florence — walk / short bus from San Frediano","https://www.scuoladelcuoio.com/en/","","",""
"4-stibbert-museum-armor-and-samurai","4","Florence","Tuscany","Stibbert Museum — armor and samurai","all","weird","base","","In Florence — short bus ride out from the centre","https://www.museostibbert.it/en","","",""
"4-the-buontalenti-grotto-in-boboli","4","Florence","Tuscany","The Buontalenti Grotto in Boboli","keir · all","caves","base","Included with Boboli entry","In Florence — inside the Boboli Gardens, ~10 min from base","https://www.uffizi.it/en/boboli-garden","","",""
"4-the-vasari-corridor","4","Florence","Tuscany","The Vasari Corridor","all","secret","base","","In Florence — book Uffizi + corridor supplement well ahead","https://www.uffizi.it/en/corridoio-vasariano","","",""
"4-the-window-that-can-never-be-closed","4","Florence","Tuscany","The window that can never be closed","jude","weird","base","Free","In Florence — spot it from the piazza, walkable","https://www.visittuscany.com/en/ideas/mysteries-oddities-and-scary-stories-of-florence/","","",""
"4-uffizi-family-treasure-hunt","4","Florence","Tuscany","Uffizi family treasure hunt","grey","hunt","base","tour + entry","In Florence — the Uffizi","","","",""
"4-zecchi-the-renaissance-color-shop","4","Florence","Tuscany","Zecchi — the Renaissance color shop","jude","rock","base","Free to browse","In Florence — walkable, near the Duomo","https://zecchi.it/?lang=eng","","",""
"4-a-chianti-wine-day","4","Chianti","Tuscany","A Chianti / wine day","all","nature","day","","Driver-led day out from Florence","https://www.visittuscany.com/en/","","",""
"4-a-modena-food-morning","4","Modena","Emilia-Romagna","A Modena food morning","all","food","day","","Day-trip — train from Florence, then ~30-min train Bologna to Modena","https://www.visitmodena.it/en","","",""
"4-archiginnasio-the-anatomical-theatre","4","Bologna","Emilia-Romagna","Archiginnasio + the Anatomical Theatre","all","weird","day","","Day-trip — 37-min train from Florence, then walk next to Piazza Maggiore","https://www.archiginnasio.it/","","",""
"4-bike-the-walls-of-lucca","4","Lucca","Tuscany","Bike the walls of Lucca","all","transport","day","","By train from Firenze S.M.N.","","","",""
"4-cassini-s-sundial-and-the-unfinished-facade-san-petronio","4","Bologna","Emilia-Romagna","Cassini's sundial and the unfinished facade (San Petronio)","all","church","day","free","Day-trip — 37-min train from Florence, then walk to Piazza Maggiore","https://www.atlasobscura.com/places/sundial-basilica-di-san-petronio","","",""
"4-fiesole-etruscan-roman-ruins","4","Fiesole","Tuscany","Fiesole — Etruscan-Roman ruins","all","sight","day","","Bus/rail up from Florence","","","",""
"4-gelato-santo-stefano-s-seven-churches","4","Bologna","Emilia-Romagna","Gelato + Santo Stefano's seven churches","grey · all","church","day","free","Day-trip — 37-min train from Florence, then walk to Piazza Santo Stefano","https://www.bolognawelcome.com/en/","","",""
"4-gelato-museum-carpigiani","4","Anzola","Emilia-Romagna","Gelato Museum Carpigiani","grey","food","day","free museum (workshops paid)","Day-trip — 37-min train from Florence, then bus 87 (~20 min) to Anzola","https://www.bolognawelcome.com/en/places/museums-and-art-galleries/gelato-museum-carpigiani-eng","","",""
"4-grand-tour-italia-food-park","4","Bologna","Emilia-Romagna","Grand Tour Italia food park","grey · all","food","day","","Day-trip — 37-min train from Florence, then local transit to the edge of town","https://www.grandtouritalia.it/en","","",""
"4-la-finestrella-di-via-piella","4","Bologna","Emilia-Romagna","La Finestrella di Via Piella","keir","secret","day","free","Day-trip — 37-min train from Florence, then walk to Via Piella 16","https://www.bolognawelcome.com/en/blog/seven-secrets-bologna","","",""
"4-labirinto-della-masone-bamboo-maze","4","Fontanellato","Emilia-Romagna","Labirinto della Masone — bamboo maze","all","maze","day","~€18pp","Day-trip — train to Parma + local; ~2h","","","",""
"4-modena-traditional-balsamic-acetaia","4","Modena","Emilia-Romagna","Modena — traditional balsamic acetaia","grey · all","food","day","Free–low (individuals)","Day-trip — train ~1h; book ahead","https://www.parmigianoreggiano.com/","","",""
"4-motor-valley-ferrari-lamborghini-ducati","4","Maranello / Modena","Emilia-Romagna","Motor Valley — Ferrari · Lamborghini · Ducati","jude","machines","day","~€12–32pp/site","Day-trip — train to Bologna/Modena + Modenatur transfer","","","",""
"4-museo-per-la-memoria-di-ustica","4","Bologna","Emilia-Romagna","Museo per la Memoria di Ustica","rhys","art","day","free","Day-trip — 37-min train from Florence, then 10-min walk from Bologna Centrale","https://www.museomemoriaustica.it/","","",""
"4-osteria-del-sole","4","Bologna","Emilia-Romagna","Osteria del Sole","all","dining","day","","Day-trip — 37-min train from Florence, then walk into the Quadrilatero","https://www.osteriadelsole.it/","","",""
"4-palazzo-poggi-the-university-s-wunderkammer","4","Bologna","Emilia-Romagna","Palazzo Poggi — the university's wunderkammer","rhys · jude","weird","day","","Day-trip — 37-min train from Florence, then walk to via Zamboni","https://sma.unibo.it/en","","",""
"4-quadrilatero-market-food-crawl","4","Bologna","Emilia-Romagna","Quadrilatero market food crawl","all","market","day","","Day-trip — 37-min Frecciarossa from Florence, then walk to the market lanes off Piazza Maggiore","https://www.tamburini.com/en/","","",""
"4-scarperia-knife-blade-making","4","Scarperia","Tuscany","Scarperia — knife & blade making","jude","craft","day","varies","Day-trip — bus ~1h from Florence","","","",""
"4-the-feast-ragu-tortellini-in-brodo-mortadella","4","Bologna","Emilia-Romagna","The feast — ragu, tortellini in brodo, mortadella","all","dining","day","","Day-trip — 37-min train from Florence, then walk to a central osteria","https://www.bolognawelcome.com/en/","","",""
"4-the-porticoes-walk-to-san-luca","4","Bologna","Emilia-Romagna","The porticoes — walk to San Luca","all","architecture","day","","Day-trip — 37-min train from Florence, then walk or San Luca Express tourist train","https://www.bolognawelcome.com/en/","","",""
"4-the-three-arrows-of-corte-isolani","4","Bologna","Emilia-Romagna","The three arrows of Corte Isolani","jude","hunt","day","free","Day-trip — 37-min train from Florence, then walk to Strada Maggiore 19","https://www.bolognawelcome.com/en/blog/seven-secrets-bologna","","",""
"4-the-tortellino-and-venus-s-navel","4","Bologna","Emilia-Romagna","The tortellino and Venus's navel","grey · all","food","day","","Day-trip — 37-min train from Florence, then any proper central osteria","https://www.bolognawelcome.com/en/food-and-wine","","",""
"4-the-two-towers-climb-asinelli","4","Bologna","Emilia-Romagna","The Two Towers — climb Asinelli","all","whoa","day","","Day-trip — 37-min train from Florence, then walk to Piazza di Porta Ravegnana","https://www.torreasinelli.it/","","",""
